Location in Wind Tunnel,LocationMaizeDes,Clock,Date,Treatment,Repetition,Treatment Left,Treatment Right,Responding,Comment,Video Save Time,Determination via Video
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 16:59:21,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
End,End,8/14/2023 17:03:36,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:44:41,6/18/2023,Incanum,B7,Maize + D. incanum,Maize,Yes,For both sides relatively big plants were used (maize with seven fully emerged leaves).,20230618_194908,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:44:42,6/18/2023,Incanum,B7,Maize + D. incanum,Maize,Yes,For both sides relatively big plants were used (maize with seven fully emerged leaves).,20230618_194908,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 12:44:44,6/18/2023,Incanum,B7,Maize + D. incanum,Maize,Yes,For both sides relatively big plants were used (maize with seven fully emerged leaves).,20230618_194908,Yes
End,End,4/18/2024 12:49:54,6/18/2023,Incanum,B7,Maize + D. incanum,Maize,Yes,For both sides relatively big plants were used (maize with seven fully emerged leaves).,20230618_194908,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:52:10,6/18/2023,Incanum,B8,Maize + D. incanum,Maize,Yes,-,20230618_200308,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:52:10,6/18/2023,Incanum,B8,Maize + D. incanum,Maize,Yes,-,20230618_200308,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 12:52:11,6/18/2023,Incanum,B8,Maize + D. incanum,Maize,Yes,-,20230618_200308,Yes
End,End,4/18/2024 12:57:07,6/18/2023,Incanum,B8,Maize + D. incanum,Maize,Yes,-,20230618_200308,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 17:25:25,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 17:25:26,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
Left (30cm-50cm),Des (30cm-50cm),8/14/2023 17:26:06,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 17:26:12,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
Left (30cm-50cm),Des (30cm-50cm),8/14/2023 17:26:12,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 17:26:15,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
Left (30cm-50cm),Des (30cm-50cm),8/14/2023 17:26:18,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
End,End,8/14/2023 17:30:38,6/18/2023,Incanum,B9,Maize + D. incanum,Maize,Yes,-,20230618_201839,Yes
Middle (10cm-10cm),Middle (10cm-10cm),6/18/2023 20:36:42,6/18/2023,Incanum,B10,Maize + D. incanum,Maize,Yes,On both sides relatively small plants were used. ,20230618_203619,No
Middle (10cm-10cm),Middle (10cm-10cm),6/18/2023 20:36:44,6/18/2023,Incanum,B10,Maize + D. incanum,Maize,Yes,On both sides relatively small plants were used. ,20230618_203619,No
End,End,6/18/2023 20:41:42,6/18/2023,Incanum,B10,Maize + D. incanum,Maize,Yes,On both sides relatively small plants were used. ,20230618_203619,No
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:20:50,6/18/2023,Control,B9,Maize,Maize,Yes,-,20230618_212136,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:20:53,6/18/2023,Control,B9,Maize,Maize,Yes,-,20230618_212136,Yes
End,End,8/14/2023 23:25:50,6/18/2023,Control,B9,Maize,Maize,Yes,-,20230618_212136,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:24:13,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:24:14,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:24:54,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:24:56,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:24:59,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:25:01,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:25:03,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:25:08,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:25:10,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:25:34,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:25:35,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:25:37,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:25:39,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:25:40,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:25:42,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:25:45,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:25:49,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:25:51,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 23:25:52,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:26:03,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:26:05,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:26:07,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 23:26:11,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:26:13,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 23:26:15,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:26:18,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:26:20,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:26:21,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:26:25,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:26:26,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:26:27,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:26:28,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:26:29,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:27:03,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 23:27:04,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:27:11,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:27:13,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:27:14,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:27:14,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:27:16,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:27:18,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:27:26,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:27:27,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:27:33,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:27:35,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:27:40,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:27:45,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:27:46,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:27:50,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:27:51,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 23:27:52,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:28:00,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:28:03,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:28:27,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 23:28:29,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:28:32,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:28:33,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:28:36,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:28:38,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:28:40,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:28:41,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:28:42,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 23:28:43,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:28:47,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:28:49,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:29:14,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:29:15,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:29:16,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:29:21,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:29:25,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:29:31,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Right (30cm-50cm),Right (30cm-50cm),8/14/2023 23:29:34,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:29:36,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:29:37,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 23:29:39,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 23:29:43,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 23:29:44,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
End,End,8/14/2023 23:29:48,6/18/2023,Control,B10,Maize,Maize,Yes,-,20230618_213416,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:01:48,6/18/2023,Control,B11,Maize,Maize,Yes,-,20230618_215011,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:01:49,6/18/2023,Control,B11,Maize,Maize,Yes,-,20230618_215011,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 13:01:55,6/18/2023,Control,B11,Maize,Maize,Yes,-,20230618_215011,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 13:06:45,6/18/2023,Control,B11,Maize,Maize,Yes,-,20230618_215011,Yes
End,End,4/18/2024 13:07:03,6/18/2023,Control,B11,Maize,Maize,Yes,-,20230618_215011,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:08:20,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:08:21,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 13:08:23,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 13:08:24,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:08:25,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),4/18/2024 13:08:26,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Right (30cm-50cm),Right (30cm-50cm),4/18/2024 13:08:26,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),4/18/2024 13:08:33,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 13:08:35,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
End,End,4/18/2024 13:13:51,6/18/2023,Control,B12,Maize,Maize,Yes,-,20230618_222214,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:14:07,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:14:07,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:14:30,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:14:36,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:14:42,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:14:43,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:14:58,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:15:01,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:15:14,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:15:17,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:15:23,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:15:27,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:16:05,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:16:09,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:16:18,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:16:23,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:16:48,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:16:50,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:16:59,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:17:01,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:17:03,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:17:10,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:17:13,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:17:23,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:17:26,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:17:32,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:17:37,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:18:14,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:18:15,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:18:21,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:18:25,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
End,End,4/18/2024 13:19:19,6/18/2023,Intortum,B7,Maize + D. intortum,Maize,Yes,During a first trial one of the teflon tubing fell out and therefore the trial was repeated with the same moth a second time.,20230618_235250,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:28:22,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:28:22,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:28:27,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:28:29,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:28:48,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:28:50,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:28:53,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:28:55,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:29:00,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:29:01,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:29:11,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:29:16,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:29:19,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:29:22,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
